genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,combined_text
Anime,Nobuo Uematsu,Aria di Mezzo Carattere,4c28kygVhhpacEHorsU04R,23,0.951,0.23,237573,0.263,0.919,D,0.0682,-11.62,Major,0.0354,140.037,4/4,0.0631,"artist: nobuo uematsu, track: aria di mezzo carattere, genre: anime"
R&B,Melii,HML,07ucxG4N6nTdrSG6c585K0,68,0.142,0.584,179185,0.713,0.0,C#,0.18,-4.668,Minor,0.0944,100.314,4/4,0.32,"artist: melii, track: hml, genre: rb"
Blues,Deap Vally,Heart Is an Animal,7CIkiIQ3vCYIkBxiIkmtjA,20,0.0397,0.32,259349,0.666,0.00192,G#,0.109,-5.904,Minor,0.0468,171.765,3/4,0.273,"artist: deap vally, track: heart is an animal, genre: blues"
Anime,GLAY,誘惑,2GlOmBRGlF9B2ylosoYRim,42,0.00844,0.353,261080,0.962,0.0,D,0.0891,-4.143,Major,0.0532,179.812,4/4,0.757,"artist: glay, track: , genre: anime"
Alternative,Arcade Fire,Rebellion (Lies),0xOeB16JDbBJBJKSdHbElT,61,0.00744,0.401,310893,0.933,0.627,G#,0.318,-5.682,Major,0.0344,127.193,4/4,0.734,"artist: arcade fire, track: rebellion lies, genre: alternative"
Movie,Bruce Broughton,Celebration,2temqULoS1BFgfnNjnDtzl,0,0.941,0.475,253293,0.224,0.733,F,0.206,-22.771,Minor,0.04,121.692,4/4,0.226,"artist: bruce broughton, track: celebration, genre: movie"
Blues,Billie Holiday,On The Sunny Side Of The Street,16ARXAJAcL8ubHDpBLcqDQ,43,0.972,0.692,179493,0.121,0.00155,G#,0.13,-14.419,Major,0.0493,119.569,4/4,0.646,"artist: billie holiday, track: on the sunny side of the street, genre: blues"
Dance,Nelly,Country Grammar (Hot Shit),2Lg4kvhOrPhpGEZmSe7VAN,70,0.00802,0.872,287000,0.673,0.0,D,0.155,-6.879,Major,0.108,162.781,4/4,0.527,"artist: nelly, track: country grammar hot shit, genre: dance"
Opera,Georges Bizet,"Carmen: Act III: Hola, Hola Jose …",0QxbcZmKSaTB96Y1WGHUR5,8,0.975,0.319,195267,0.014,0.855,D#,0.0633,-26.678,Major,0.0429,83.819,4/4,0.155,"artist: georges bizet, track: carmen: act iii: hola, hola jose , genre: opera"
Rap,Big K.R.I.T.,1999 (feat. Lloyd),7dveZsk7FG3K9uHCpUOh5A,57,0.0887,0.699,222951,0.7,0.0,F#,0.0771,-6.508,Major,0.212,158.026,4/4,0.534,"artist: big krit, track: 1999 feat lloyd, genre: rap"
Jazz,Tito Puente,Oye Como Va,0rsmlyJFeb3qiGxmD3jjEw,57,0.743,0.696,272547,0.728,0.0537,G,0.0835,-6.937,Major,0.034,124.092,4/4,0.963,"artist: tito puente, track: oye como va, genre: jazz"
Opera,Giuseppe Verdi,"Macbeth, Act IV: O figli, o figli miei! (Live)",7MJMp01ZJabqwoPAkxmHy2,0,0.983,0.185,235613,0.188,0.000237,C#,0.812,-22.419,Major,0.0549,76.917,3/4,0.0676,"artist: giuseppe verdi, track: macbeth, act iv: o figli, o figli miei live, genre: opera"
Children’s Music,Seether,Like Suicide,5etsnSg4MXfk8DsjCEHGen,49,0.00154,0.335,254840,0.933,0.0412,G#,0.172,-4.236,Major,0.079,191.978,4/4,0.377,"artist: seether, track: like suicide, genre: childrens music"
Classical,Iron Savior,Heavy Metal Never Dies,4mJmi9z3o1B6k2vry39Ufh,53,0.0266,0.491,254387,0.972,0.00128,A,0.257,-3.125,Major,0.0935,137.949,4/4,0.414,"artist: iron savior, track: heavy metal never dies, genre: classical"
Rock,Death Cab for Cutie,Black Sun,59FC22eN2Syt9bbv2d6393,55,0.17,0.608,289160,0.642,0.0667,D,0.166,-7.978,Major,0.0251,87.703,4/4,0.608,"artist: death cab for cutie, track: black sun, genre: rock"
Comedy,Maria Bamford,Creativity,07jgiHYNuzBwCxTe0JpMXl,21,0.777,0.579,216067,0.745,0.0,F#,0.673,-8.699,Major,0.944,80.536,4/4,0.533,"artist: maria bamford, track: creativity, genre: comedy"
Classical,Carl Orff,"Carmina Burana, III. Cour d'amours (Version for Soloists, Choruses, 2 Pianos & Perc.): Circa mea pectora",2emvRgHx5GKF4Kur5Xessa,0,0.956,0.316,145453,0.291,0.00116,C,0.279,-20.129,Major,0.0504,84.19,4/4,0.528,"artist: carl orff, track: carmina burana, iii cour damours version for soloists, choruses, 2 pianos  perc: circa mea pectora, genre: classical"
Reggaeton,Feid,Tácticas,608XKDsTdQWOXDI01JDYH4,28,0.243,0.862,193960,0.665,0.000547,C,0.143,-6.607,Minor,0.135,94.024,4/4,0.824,"artist: feid, track: tcticas, genre: reggaeton"
Ska,Viernes 13,Rosa Sola,3bGWzuy3eAplzclfyDYKvn,18,0.00251,0.343,220720,0.87,2.41e-06,B,0.182,-3.946,Minor,0.0549,120.876,4/4,0.3,"artist: viernes 13, track: rosa sola, genre: ska"
World,John Mark McMillan,Magic Mirror,4mSYyiyyNAVqw9uyLMb5kv,40,0.807,0.395,239115,0.389,0.012,D,0.117,-7.81,Major,0.0272,80.01,4/4,0.347,"artist: john mark mcmillan, track: magic mirror, genre: world"
Movie,Dick Van Dyke,"Fidelity Fiduciary Bank - From ""Mary Poppins""/Soundtrack Version",4OlskbEVBi1jpQKBbKHbm9,41,0.711,0.581,213400,0.158,0.0,C,0.214,-18.461,Major,0.287,127.061,4/4,0.418,"artist: dick van dyke, track: fidelity fiduciary bank  from mary poppinssoundtrack version, genre: movie"
Alternative,Skillet,Save Me,4pJM8ZZ3YIO4xOeD5k8s5P,61,0.000377,0.556,223241,0.888,0.0,C#,0.214,-3.985,Minor,0.0377,96.033,4/4,0.446,"artist: skillet, track: save me, genre: alternative"
Soundtrack,Nicholas Hooper,The Book,77QQVxFE75F1DW0rIJHVob,34,0.459,0.344,104520,0.0304,0.253,G,0.0783,-33.887,Minor,0.0445,90.139,3/4,0.0733,"artist: nicholas hooper, track: the book, genre: soundtrack"
Rap,Pleasure P,Rock with You,7GChr3qNhTYzKmoYnBpRA7,56,0.0645,0.694,256154,0.702,0.0,G#,0.155,-4.63,Major,0.0605,130.109,4/4,0.495,"artist: pleasure p, track: rock with you, genre: rap"
Classical,Johann Sebastian Bach,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Aria",67xPOt3ADlj5YCMDkLRSUU,34,0.99,0.333,230110,0.0368,0.889,G,0.116,-31.006,Major,0.0441,119.424,4/4,0.274,"artist: johann sebastian bach, track: aria mit 30 vernderungen, bwv 988 goldberg variations: aria, genre: classical"
Ska,The Aggrolites,Eye Of Obarbas,0Zc0KuZeAFNQbdBK9nunhK,14,0.0978,0.828,155639,0.699,0.434,G#,0.0818,-7.877,Major,0.0317,133.325,4/4,0.975,"artist: the aggrolites, track: eye of obarbas, genre: ska"
Soundtrack,Alan Menken,The Ends Of The Earth,08d0SqyajLBFI8OE58DPdu,37,0.908,0.157,95280,0.217,0.876,G,0.108,-18.82,Minor,0.0479,73.162,3/4,0.269,"artist: alan menken, track: the ends of the earth, genre: soundtrack"
Hip-Hop,Mick Jenkins,Martyrs,0MFj1bBmr0c1JN99Htn0OY,52,0.206,0.619,219339,0.607,0.0,C#,0.113,-9.483,Major,0.316,97.899,4/4,0.202,"artist: mick jenkins, track: martyrs, genre: hiphop"
Children’s Music,The O'My's,Idea,3xzAbYFelfFdMUC9St64ga,51,0.0539,0.609,236572,0.619,0.00146,D#,0.0888,-7.189,Major,0.188,168.255,4/4,0.169,"artist: the omys, track: idea, genre: childrens music"
Soundtrack,Jeremy Soule,Harvest Dawn,1NhDv99nTtRm37rZpoH7Ix,49,0.933,0.0963,171442,0.0657,0.846,D,0.0853,-21.703,Minor,0.0387,81.816,4/4,0.0561,"artist: jeremy soule, track: harvest dawn, genre: soundtrack"
Soundtrack,Taisei Iwasaki,World Goes Round,6JpQTS6HCZ7uFprwfEFdeb,27,0.775,0.633,198813,0.511,0.019,F,0.103,-8.455,Major,0.035,96.067,4/4,0.304,"artist: taisei iwasaki, track: world goes round, genre: soundtrack"
Rap,Playboi Carti,R.I.P.,3L0IKstjUgDFVQAbQIRZRv,69,0.0119,0.725,192027,0.723,0.0,G#,0.086,-6.067,Minor,0.16,140.003,4/4,0.509,"artist: playboi carti, track: rip, genre: rap"
Anime,ClariS,Overture - Instrumental,4HQBPtDXuAFasYphFlyb98,14,0.772,0.303,58133,0.176,0.00413,F,0.0935,-13.889,Major,0.0332,74.906,3/4,0.174,"artist: claris, track: overture  instrumental, genre: anime"
Pop,The Smashing Pumpkins,Today - Remastered,0u5aO1GYsIhAWCPuXdwnak,63,3.35e-05,0.456,201173,0.826,0.57,G#,0.0548,-7.611,Major,0.0268,82.539,4/4,0.415,"artist: the smashing pumpkins, track: today  remastered, genre: pop"
Dance,Ashanti,Foolish,6zMUIb4uce1CzpbjR3vMdN,73,0.358,0.477,227387,0.728,0.0,C,0.11,-5.71,Major,0.0831,89.209,4/4,0.69,"artist: ashanti, track: foolish, genre: dance"
Soundtrack,Ramin Djawadi,Reveries,3WUthJCnJ0JpdpJgHuTg92,43,0.956,0.287,180036,0.0856,0.935,B,0.0997,-21.4,Minor,0.042,70.53,3/4,0.0576,"artist: ramin djawadi, track: reveries, genre: soundtrack"
Ska,Choking Victim,Choking Victim,7ggrBRywt0nNlo1zYxycFb,29,0.000325,0.417,107333,0.924,0.0,G,0.285,-6.057,Major,0.351,96.482,4/4,0.703,"artist: choking victim, track: choking victim, genre: ska"
Rap,Justin Timberlake,Take Back the Night,0a4ZGSRZOgspQy2HYzU82l,56,0.043,0.588,353160,0.664,4.3e-05,G,0.639,-5.18,Major,0.159,106.502,4/4,0.333,"artist: justin timberlake, track: take back the night, genre: rap"
Comedy,George Lopez,People For The Future,0W3GnS5TpB5m1ibsxzd6rj,25,0.826,0.507,253050,0.829,0.0,A,0.769,-14.401,Major,0.915,134.97,3/4,0.066,"artist: george lopez, track: people for the future, genre: comedy"
Soundtrack,Danny Elfman,Spidey Suite,1rWXvYkkypWRrQl9XSutKs,27,0.651,0.251,239867,0.578,0.904,C#,0.111,-8.461,Major,0.052,125.965,3/4,0.08,"artist: danny elfman, track: spidey suite, genre: soundtrack"
R&B,Alina Baraz,Feels Right,2Un4sGOznAimdjxFaMPIrl,64,0.253,0.674,180984,0.592,1.2e-06,F,0.117,-9.94,Major,0.0496,133.927,4/4,0.152,"artist: alina baraz, track: feels right, genre: rb"
Hip-Hop,Jay Rock,Tap Out (feat. Jeremih),2YaOQzBkhejBu5d4CyGsfS,65,0.105,0.676,199960,0.62,0.0,F,0.211,-6.343,Minor,0.0562,100.06,4/4,0.607,"artist: jay rock, track: tap out feat jeremih, genre: hiphop"
Children's Music,Tom's Music Box,Wee Willie Winkie,4XX7CvonO0QRwEngGDw05x,32,0.72,0.882,64554,0.608,0.534,G,0.145,-7.264,Major,0.095,129.958,4/4,0.525,"artist: toms music box, track: wee willie winkie, genre: childrens music"
Soul,Quentin Miller,Bank!!!,0OPahehUERw6mc86oLpA2W,42,0.21,0.94,174013,0.51,0.0189,F,0.116,-6.75,Minor,0.0596,119.942,4/4,0.507,"artist: quentin miller, track: bank, genre: soul"
Soul,88GLAM,Ricardo,21pzdE3LPhGBDaPoBPmyiE,51,0.104,0.719,220543,0.384,0.0,F,0.119,-8.904,Minor,0.0778,79.965,4/4,0.389,"artist: 88glam, track: ricardo, genre: soul"
Country,Logan Mize,Big City,5jjxfDjxb29eI1UbZTnLCv,39,0.00607,0.435,222833,0.83,0.0,C,0.225,-3.89,Minor,0.0412,199.865,4/4,0.404,"artist: logan mize, track: big city, genre: country"
Blues,Ty Segall,Isolation,3oRNQCNvmRqWkPXnwLgKTA,33,0.367,0.429,174800,0.325,7.09e-06,D,0.111,-7.546,Major,0.0305,114.88,4/4,0.314,"artist: ty segall, track: isolation, genre: blues"
Folk,Steve Earle,Copperhead Road,0ttKO7eBjyoq5Khr2X9lwV,58,0.0257,0.378,270067,0.742,0.000125,G,0.0659,-10.002,Major,0.0444,163.721,4/4,0.765,"artist: steve earle, track: copperhead road, genre: folk"
Folk,The Decemberists,O Valencia!,221bl0jrSfJ1LMgUw36zRJ,45,0.0068,0.531,227907,0.765,0.000313,C,0.209,-7.844,Major,0.0349,135.457,4/4,0.452,"artist: the decemberists, track: o valencia, genre: folk"
Ska,The Flatliners,There's A Problem,5LaIipS1Xk7GZfuBkPszqx,29,8.57e-05,0.299,116040,0.99,1.42e-05,A#,0.381,-2.238,Major,0.0795,132.325,4/4,0.459,"artist: the flatliners, track: theres a problem, genre: ska"
Anime,Ling tosite sigure,DISCO FLIGHT,4Uj10BPxKAurqULUGDvM24,23,0.00212,0.299,269120,0.877,1.22e-05,F,0.0267,-2.024,Minor,0.0851,132.87,4/4,0.502,"artist: ling tosite sigure, track: disco flight, genre: anime"
Hip-Hop,Biz Markie,Just A Friend,3yNVfRQlUPViUh8O2V9SQn,63,0.12,0.862,238267,0.663,0.0,C,0.318,-9.004,Major,0.21,85.308,4/4,0.837,"artist: biz markie, track: just a friend, genre: hiphop"
Comedy,Jim Gaffigan,Ribs and Bologna,1koM6k2cZjwMTiMPlT3ZKl,36,0.811,0.556,211747,0.927,0.0,C#,0.862,-8.599,Major,0.956,70.644,4/4,0.143,"artist: jim gaffigan, track: ribs and bologna, genre: comedy"
Electronic,Justice,Phantom Part 1.5 - Live Version,2oBteex06KP3hi59jNb2f5,34,0.361,0.489,285413,0.995,0.846,D,0.608,-4.427,Major,0.179,122.494,4/4,0.0803,"artist: justice, track: phantom part 15  live version, genre: electronic"
Country,Zac Brown Band,The Wind - Greatest Hits Version,6vZ7leJdb4Gm9aWcjMNqnM,44,0.205,0.691,176840,0.948,0.0,F#,0.303,-4.114,Major,0.0539,136.075,4/4,0.874,"artist: zac brown band, track: the wind  greatest hits version, genre: country"
Hip-Hop,2 Chainz,Gotta Lotta,1gpSrGUfU3F9TOzPlEyLxH,54,0.00282,0.681,214720,0.608,0.0,G,0.0869,-7.344,Minor,0.0504,81.969,4/4,0.177,"artist: 2 chainz, track: gotta lotta, genre: hiphop"
Soundtrack,Michael Giacchino,The Master of the Mystic End Credits,2hbsiYZprSRLeZeX87Y89I,41,0.03,0.345,230760,0.599,0.136,A#,0.0647,-10.619,Major,0.0361,124.641,4/4,0.353,"artist: michael giacchino, track: the master of the mystic end credits, genre: soundtrack"
Opera,Giuseppe Verdi,"Requiem: II. Dies irae ""Lacrimosa""",4BDn774L9YnCQQrUQOFyR4,12,0.972,0.212,328907,0.121,0.000367,A#,0.0679,-25.431,Minor,0.05,131.579,4/4,0.0423,"artist: giuseppe verdi, track: requiem: ii dies irae lacrimosa, genre: opera"
Movie,Jean Piat,Après avoir écrit tant d'histoires tragiques,08FywDFSmMnzUwvKQ39jyV,0,0.843,0.71,248173,0.194,0.0,A#,0.241,-21.64,Minor,0.824,124.641,1/4,0.765,"artist: jean piat, track: aprs avoir crit tant dhistoires tragiques, genre: movie"
Classical,London Symphony Orchestra,Pavane Pour Une Infante Défunte (Ravel),6NIFkdTSxfFreiE76EeeaV,31,0.971,0.167,395427,0.0324,0.958,G,0.0919,-32.347,Major,0.0378,70.12,3/4,0.0447,"artist: london symphony orchestra, track: pavane pour une infante dfunte ravel, genre: classical"
Comedy,Jeff Foxworthy,Nasa & Alabama & Fishing Shows,7jL9xLBfmpdJ2UWk5dzBCC,26,0.787,0.655,200707,0.858,0.0,F,0.697,-8.532,Major,0.93,121.558,3/4,0.346,"artist: jeff foxworthy, track: nasa  alabama  fishing shows, genre: comedy"
Indie,Dr. Dog,Shadow People,209g8XrYu3ov4Wt4bRk2Yw,51,0.119,0.434,253093,0.707,0.0,G,0.0997,-5.472,Major,0.0399,176.612,4/4,0.477,"artist: dr dog, track: shadow people, genre: indie"
R&B,SG Lewis,Hurting (feat. AlunaGeorge),7h8e5oCD5ZRu0VPNHEN6A5,45,0.426,0.792,185085,0.649,9.27e-05,B,0.0942,-3.966,Minor,0.0808,118.016,4/4,0.444,"artist: sg lewis, track: hurting feat alunageorge, genre: rb"
Classical,Pyotr Ilyich Tchaikovsky,"The Nutcracker, Op.71 : No.14 Pas de deux: Intrada - Variation I/II - Coda",6uW1vGBgYAHqWum4tiU3qj,30,0.939,0.146,552813,0.127,0.853,E,0.0775,-19.291,Minor,0.0405,74.023,4/4,0.0906,"artist: pyotr ilyich tchaikovsky, track: the nutcracker, op71 : no14 pas de deux: intrada  variation iii  coda, genre: classical"
R&B,Jhene Aiko,The Worst,2wBCrtJS3E3TimRZ5MElTI,70,0.237,0.524,254493,0.417,1.19e-06,C#,0.139,-9.283,Minor,0.0578,93.59,4/4,0.109,"artist: jhene aiko, track: the worst, genre: rb"
Ska,MxPx,Uptown Streets,3TfJC31vGwYclVyYVcqcmH,34,5.4e-05,0.349,190366,0.974,0.000776,G#,0.146,-4.479,Major,0.0426,175.0,4/4,0.731,"artist: mxpx, track: uptown streets, genre: ska"
Alternative,Rise Against,Paper Wings,6Nl8qp2bhHHWGYt3BYmsY1,47,0.000921,0.556,223613,0.93,0.00514,D#,0.108,-3.62,Major,0.0538,100.143,4/4,0.514,"artist: rise against, track: paper wings, genre: alternative"
Blues,Ry Cooder,Little Sister,1uJT2yMhKnGBOBrrqQkAhJ,37,0.163,0.756,232467,0.383,0.0,A#,0.0651,-18.302,Major,0.0362,128.956,4/4,0.966,"artist: ry cooder, track: little sister, genre: blues"
Classical,Margaret Brouwer,Aurolucent Circles: I. Floating in Dark Space,6NDhMYIjhhIxd6x8yq0i6k,27,0.961,0.217,522920,0.0225,0.573,C#,0.0913,-29.322,Major,0.0454,128.329,3/4,0.033,"artist: margaret brouwer, track: aurolucent circles: i floating in dark space, genre: classical"
Soundtrack,Thomas Newman,Finding Nemo,4MrXuZ2T6CMD0V5VURGBwx,47,0.936,0.172,79200,0.127,0.973,F,0.151,-21.75,Major,0.0403,113.846,4/4,0.0357,"artist: thomas newman, track: finding nemo, genre: soundtrack"
Reggaeton,DJ Nelson,Nos Fuimos Hasta Abajo,1sEhL4bNLw22eYGEKxTbaX,41,0.013,0.788,82347,0.498,0.0,C,0.342,-8.168,Major,0.285,191.381,4/4,0.967,"artist: dj nelson, track: nos fuimos hasta abajo, genre: reggaeton"
Children's Music,Kimbo Children's Music,Rain Song,5nREYJvC7JuVXuRaDezRAh,0,0.595,0.937,72173,0.198,0.0,C,0.0701,-15.645,Major,0.0768,112.392,4/4,0.788,"artist: kimbo childrens music, track: rain song, genre: childrens music"
Reggae,Mishka,Ocean Is My Potion,7LXFkDgNUHZkqZ8qWKw7xM,35,0.412,0.779,281000,0.449,0.0,G,0.0621,-8.881,Major,0.0403,106.49,4/4,0.546,"artist: mishka, track: ocean is my potion, genre: reggae"
Rap,Lil Wayne,Let The Beat Build,0bdabO15YOj0iZPg2OujAw,58,0.141,0.554,309000,0.552,1.81e-05,C#,0.321,-8.167,Major,0.27,77.235,4/4,0.903,"artist: lil wayne, track: let the beat build, genre: rap"
R&B,Kirko Bangz,Drank In My Cup,3m8CQnnfJJp4eQMWWl3zay,65,0.0114,0.451,232160,0.632,0.0,G#,0.198,-7.98,Minor,0.297,132.89,4/4,0.234,"artist: kirko bangz, track: drank in my cup, genre: rb"
Country,Clay Walker,She Won't Be Lonely Long,0158TMiGmHyibaDeaUKayX,59,0.00643,0.635,209253,0.758,0.0,G,0.229,-5.772,Major,0.0243,113.002,4/4,0.322,"artist: clay walker, track: she wont be lonely long, genre: country"
Alternative,Joji,NO FUN,4sbtM9ORGwmxGkXfctXbJq,71,0.8,0.809,168418,0.483,0.0,F,0.221,-6.886,Major,0.0487,96.974,4/4,0.715,"artist: joji, track: no fun, genre: alternative"
Pop,Grizzly Bear,Losing All Sense,2ZRvcRcKdwQBjTAqj2XNJN,61,0.107,0.534,305867,0.738,0.139,G#,0.0871,-6.237,Minor,0.0293,96.053,4/4,0.616,"artist: grizzly bear, track: losing all sense, genre: pop"
Children’s Music,Jakob Ogawa,Perfect Sweet Blue,6nng0eZWVUqw6jjJzEdOH1,50,0.872,0.373,139960,0.285,0.0904,D,0.112,-13.544,Minor,0.0544,82.753,4/4,0.0777,"artist: jakob ogawa, track: perfect sweet blue, genre: childrens music"
Opera,Ruggero Leoncavallo,"Pagliacci / Act 1: ""Nedda! Silvio, a quest'ora""",4FQi0ZoVZeRSLE9W31m2Lq,6,0.981,0.413,116013,0.254,0.00489,G,0.155,-13.746,Major,0.0487,104.239,3/4,0.0774,"artist: ruggero leoncavallo, track: pagliacci  act 1: nedda silvio, a questora, genre: opera"
Blues,The Cramps,The Way I Walk,6dyku3NZZukkS8yhzWG9TU,41,0.0289,0.538,160507,0.745,0.807,A,0.112,-12.194,Major,0.044,102.43,4/4,0.731,"artist: the cramps, track: the way i walk, genre: blues"
Country,Travis Collins,Happy,6jYkjjOTarJJnDOKQvt2l2,48,0.352,0.533,199598,0.789,0.0,F#,0.0898,-5.683,Major,0.0393,160.077,4/4,0.437,"artist: travis collins, track: happy, genre: country"
Children’s Music,Papa Roach,Come Around,6Mf8ozEDo35UcgKgKajrBY,65,0.0555,0.431,210962,0.903,0.00217,D,0.0883,-5.462,Major,0.125,186.036,4/4,0.133,"artist: papa roach, track: come around, genre: childrens music"
Reggaeton,Tony Dize,Solos (feat. Plan B),5MBOsUyrxz4Ft5OhAoRckv,47,0.518,0.73,188827,0.706,0.0,A,0.361,-5.274,Minor,0.0802,83.962,4/4,0.935,"artist: tony dize, track: solos feat plan b, genre: reggaeton"
Comedy,Ryan Stout,A New Diet,3YTc8DPmU6Zq0GdfdcOLPl,14,0.689,0.617,230667,0.81,0.0,C#,0.662,-7.014,Minor,0.928,129.132,5/4,0.66,"artist: ryan stout, track: a new diet, genre: comedy"
World,Hindi Zahra,Stand Up - Remastered,40i9LqEFBUDfVdOAllqkf3,34,0.618,0.754,279800,0.892,0.668,E,0.122,-6.428,Minor,0.0377,131.997,4/4,0.965,"artist: hindi zahra, track: stand up  remastered, genre: world"
Electronic,Apashe,Golden Empire feat. Zitaa - Original Mix,1dX5seQ8Ygt3uEce7BreHH,35,0.0564,0.665,360442,0.65,0.447,A#,0.0983,-6.782,Major,0.0335,100.014,4/4,0.3,"artist: apashe, track: golden empire feat zitaa  original mix, genre: electronic"
Rap,N.W.A.,Gangsta Gangsta,1pOIpxfrQ8AszXZdKR3aH3,63,0.0251,0.897,336917,0.694,1.82e-06,F#,0.324,-8.364,Minor,0.277,98.118,4/4,0.706,"artist: nwa, track: gangsta gangsta, genre: rap"
Rap,Travis Scott,wonderful,1cZlBZwnwGPtYeRIeQcoFh,71,0.0737,0.769,216946,0.569,0.0,C#,0.0571,-5.591,Minor,0.0786,146.062,4/4,0.612,"artist: travis scott, track: wonderful, genre: rap"
Dance,Taylor Swift,The Story Of Us,19tHCfzUSoy5HkpxcmbA0A,53,0.00478,0.543,265667,0.818,0.000368,E,0.0357,-3.611,Major,0.0398,139.898,4/4,0.683,"artist: taylor swift, track: the story of us, genre: dance"
Ska,The Mighty Mighty Bosstones,Jump Through The Hoops,4jB50ob99zcvvPfToRvyzr,16,0.187,0.349,251467,0.823,2.97e-06,A,0.0783,-7.186,Major,0.0608,152.742,4/4,0.862,"artist: the mighty mighty bosstones, track: jump through the hoops, genre: ska"
Soul,Joss Stone,The Chokin' Kind,1vEWp2y4RTmsoKE6piDIPk,43,0.413,0.55,216320,0.496,0.0,D#,0.12,-6.076,Major,0.0999,142.041,4/4,0.5,"artist: joss stone, track: the chokin kind, genre: soul"
Pop,Lil Baby,My Dawg,7CEJH5Ed7FBbXF6CqBQPlJ,66,0.0424,0.942,215423,0.559,0.0,A#,0.0938,-6.406,Minor,0.0638,133.01,4/4,0.582,"artist: lil baby, track: my dawg, genre: pop"
Comedy,Lewis Black,Still Smoke,6WYchsEBp6oyRnQXqPYR2u,16,0.994,0.761,66973,0.151,0.061,C#,0.191,-18.342,Major,0.942,65.536,3/4,0.645,"artist: lewis black, track: still smoke, genre: comedy"
Jazz,Norah Jones,One Flight Down,0e502JxKbRwKNDWmoODAUr,52,0.849,0.648,185680,0.178,2.62e-05,C#,0.123,-11.193,Major,0.0295,131.582,3/4,0.348,"artist: norah jones, track: one flight down, genre: jazz"
Classical,Wolfgang Amadeus Mozart,"La clemenza di Tito, K. 621, Act I: Di Tito al piè",2PonZojwdI8bHzPInS1BDX,0,0.963,0.436,100173,0.0443,0.0,G#,0.284,-29.579,Major,0.125,80.136,3/4,0.0963,"artist: wolfgang amadeus mozart, track: la clemenza di tito, k 621, act i: di tito al pi, genre: classical"
Country,Hiss Golden Messenger,"Caledonia, My Love",7cgka1GOkbcvNqQYrs2FwE,62,0.842,0.555,180373,0.144,0.000281,F,0.0953,-16.868,Major,0.0474,117.462,3/4,0.198,"artist: hiss golden messenger, track: caledonia, my love, genre: country"
Country,Kane Brown,Better Place,0vtKLjkpdHoysT5ZPcwgA7,58,0.188,0.648,222320,0.585,0.0,E,0.117,-6.652,Major,0.0298,172.023,4/4,0.61,"artist: kane brown, track: better place, genre: country"
Reggaeton,Olga Tanon,Todo Lo Que Sube Baja,4U0wBFXkq5pnMVAZdNKpRf,40,0.358,0.782,255008,0.886,0.0,G#,0.245,-4.267,Major,0.0918,123.943,4/4,0.947,"artist: olga tanon, track: todo lo que sube baja, genre: reggaeton"
Pop,Nightcall,Let You Go,6JflMse23AqmddXJnGiEVJ,77,0.163,0.755,181102,0.769,0.00402,A#,0.36,-5.569,Major,0.0399,114.011,4/4,0.416,"artist: nightcall, track: let you go, genre: pop"
Rock,KONGOS,Come with Me Now,2kWowW0k4oFymhkr7LmvzO,71,0.0311,0.654,211960,0.726,6.35e-05,A#,0.0618,-3.803,Minor,0.0401,103.987,4/4,0.728,"artist: kongos, track: come with me now, genre: rock"
Movie,Emmanuel Moire,Ici ailleurs,1N2w5rM3u2zAc3OYVBaP7G,9,0.249,0.59,213960,0.656,0.0,A#,0.116,-6.83,Major,0.0312,119.982,4/4,0.527,"artist: emmanuel moire, track: ici ailleurs, genre: movie"
Jazz,Nina Simone,Since I Fell for You - Original Mix,0S8wQT9YkE41gHIGwXvgep,44,0.826,0.376,170320,0.207,2.68e-06,E,0.124,-11.719,Major,0.03,102.674,4/4,0.18,"artist: nina simone, track: since i fell for you  original mix, genre: jazz"
Alternative,Electric Guest,Oh Devil,1kcfGBb6kSrGqNIMW7rAlB,56,0.122,0.903,217587,0.532,0.0345,G,0.176,-7.188,Minor,0.0593,96.991,4/4,0.701,"artist: electric guest, track: oh devil, genre: alternative"
Electronic,DROELOE,Back When (1997),5gdVbrVwTM9RKcKIMhF0La,41,0.0294,0.69,154615,0.393,0.709,A#,0.11,-9.743,Minor,0.0391,130.034,4/4,0.0378,"artist: droeloe, track: back when 1997, genre: electronic"
Classical,Johann Sebastian Bach,"Violin Partita No. 2 in D Minor, BWV 1004: III. Sarabande",2fa9SB6J2hVqeKudPcabB1,20,0.993,0.16,283333,0.0183,0.184,C,0.174,-24.399,Major,0.0525,71.799,4/4,0.153,"artist: johann sebastian bach, track: violin partita no 2 in d minor, bwv 1004: iii sarabande, genre: classical"
Jazz,Rick Braun,Silk,1KXOfTQldUODRAqM6cFyOd,31,0.72,0.733,335400,0.53,0.747,A#,0.0505,-10.276,Minor,0.035,95.034,4/4,0.718,"artist: rick braun, track: silk, genre: jazz"
Jazz,Christian Scott aTunde Adjuah,The Emancipation Procrastination,0frarnt3wTEuBF1yIFPgGn,42,0.0669,0.421,385344,0.597,0.734,B,0.133,-7.529,Minor,0.0395,92.919,4/4,0.382,"artist: christian scott atunde adjuah, track: the emancipation procrastination, genre: jazz"
